Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG1,SOLR,24/04/1993 00:00,,W/m2,P
BG1,SOLR,25/04/1993 00:00,,W/m2,P
BG1,SOLR,26/04/1993 00:00,,W/m2,P
BG1,SOLR,27/04/1993 00:00,,W/m2,P
BG1,SOLR,28/04/1993 00:00,,W/m2,P
BG1,SOLR,29/04/1993 00:00,,W/m2,P
BG1,SOLR,30/04/1993 00:00,,W/m2,P
BG1,SOLR,01/05/1993 00:00,,W/m2,P
BG1,SOLR,02/05/1993 00:00,,W/m2,P
BG1,SOLR,03/05/1993 00:00,,W/m2,P
BG1,SOLR,04/05/1993 00:00,,W/m2,P
BG1,SOLR,05/05/1993 00:00,,W/m2,P
BG1,SOLR,06/05/1993 00:00,,W/m2,P
BG1,SOLR,07/05/1993 00:00,,W/m2,P
BG1,SOLR,08/05/1993 00:00,,W/m2,P
BG1,SOLR,09/05/1993 00:00,,W/m2,P
BG1,SOLR,10/05/1993 00:00,,W/m2,P
BG1,SOLR,11/05/1993 00:00,,W/m2,P
BG1,SOLR,12/05/1993 00:00,,W/m2,P
BG1,SOLR,13/05/1993 00:00,,W/m2,P
BG1,SOLR,14/05/1993 00:00,,W/m2,P
BG1,SOLR,15/05/1993 00:00,,W/m2,P
BG1,SOLR,16/05/1993 00:00,,W/m2,P
BG1,SOLR,17/05/1993 00:00,,W/m2,P
BG1,SOLR,18/05/1993 00:00,,W/m2,P
BG1,SOLR,19/05/1993 00:00,,W/m2,P
BG1,SOLR,20/05/1993 00:00,,W/m2,P
BG1,SOLR,21/05/1993 00:00,,W/m2,P
BG1,SOLR,22/05/1993 00:00,,W/m2,P
BG1,SOLR,23/05/1993 00:00,,W/m2,P
BG1,SOLR,24/05/1993 00:00,,W/m2,P
BG1,SOLR,25/05/1993 00:00,,W/m2,P
BG1,SOLR,26/05/1993 00:00,,W/m2,P
BG1,SOLR,27/05/1993 00:00,,W/m2,P
