Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT9,O3,01/01/1993 00:00,,ug m-3,R
CT9,O3,02/01/1993 00:00,,ug m-3,R
CT9,O3,03/01/1993 00:00,,ug m-3,R
CT9,O3,04/01/1993 00:00,,ug m-3,R
CT9,O3,05/01/1993 00:00,,ug m-3,R
CT9,O3,06/01/1993 00:00,,ug m-3,R
CT9,O3,07/01/1993 00:00,,ug m-3,R
CT9,O3,08/01/1993 00:00,,ug m-3,R
CT9,O3,09/01/1993 00:00,,ug m-3,R
CT9,O3,10/01/1993 00:00,,ug m-3,R
CT9,O3,11/01/1993 00:00,,ug m-3,R
CT9,O3,12/01/1993 00:00,,ug m-3,R
CT9,O3,13/01/1993 00:00,,ug m-3,R
CT9,O3,14/01/1993 00:00,,ug m-3,R
CT9,O3,15/01/1993 00:00,,ug m-3,R
CT9,O3,16/01/1993 00:00,,ug m-3,R
CT9,O3,17/01/1993 00:00,,ug m-3,R
CT9,O3,18/01/1993 00:00,,ug m-3,R
CT9,O3,19/01/1993 00:00,,ug m-3,R
CT9,O3,20/01/1993 00:00,,ug m-3,R
CT9,O3,21/01/1993 00:00,,ug m-3,R
CT9,O3,22/01/1993 00:00,,ug m-3,R
CT9,O3,23/01/1993 00:00,,ug m-3,R
CT9,O3,24/01/1993 00:00,,ug m-3,R
CT9,O3,25/01/1993 00:00,,ug m-3,R
CT9,O3,26/01/1993 00:00,,ug m-3,R
CT9,O3,27/01/1993 00:00,,ug m-3,R
CT9,O3,28/01/1993 00:00,,ug m-3,R
CT9,O3,29/01/1993 00:00,,ug m-3,R
CT9,O3,30/01/1993 00:00,,ug m-3,R
CT9,O3,31/01/1993 00:00,,ug m-3,R
CT9,O3,01/02/1993 00:00,,ug m-3,R
CT9,O3,02/02/1993 00:00,,ug m-3,R
CT9,O3,03/02/1993 00:00,,ug m-3,R
CT9,O3,04/02/1993 00:00,,ug m-3,R
CT9,O3,05/02/1993 00:00,,ug m-3,R
CT9,O3,06/02/1993 00:00,,ug m-3,R
CT9,O3,07/02/1993 00:00,,ug m-3,R
CT9,O3,08/02/1993 00:00,,ug m-3,R
