Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
MY1,CO,28/04/1993 00:00,,mg m-3,R
MY1,CO,29/04/1993 00:00,,mg m-3,R
MY1,CO,30/04/1993 00:00,,mg m-3,R
MY1,CO,01/05/1993 00:00,,mg m-3,R
MY1,CO,02/05/1993 00:00,,mg m-3,R
MY1,CO,03/05/1993 00:00,,mg m-3,R
MY1,CO,04/05/1993 00:00,,mg m-3,R
MY1,CO,05/05/1993 00:00,,mg m-3,R
MY1,CO,06/05/1993 00:00,,mg m-3,R
MY1,CO,07/05/1993 00:00,,mg m-3,R
MY1,CO,08/05/1993 00:00,,mg m-3,R
MY1,CO,09/05/1993 00:00,,mg m-3,R
MY1,CO,10/05/1993 00:00,,mg m-3,R
MY1,CO,11/05/1993 00:00,,mg m-3,R
MY1,CO,12/05/1993 00:00,,mg m-3,R
MY1,CO,13/05/1993 00:00,,mg m-3,R
MY1,CO,14/05/1993 00:00,,mg m-3,R
MY1,CO,15/05/1993 00:00,,mg m-3,R
MY1,CO,16/05/1993 00:00,,mg m-3,R
MY1,CO,17/05/1993 00:00,,mg m-3,R
MY1,CO,18/05/1993 00:00,,mg m-3,R
MY1,CO,19/05/1993 00:00,,mg m-3,R
MY1,CO,20/05/1993 00:00,,mg m-3,R
MY1,CO,21/05/1993 00:00,,mg m-3,R
MY1,CO,22/05/1993 00:00,,mg m-3,R
MY1,CO,23/05/1993 00:00,,mg m-3,R
MY1,CO,24/05/1993 00:00,,mg m-3,R
MY1,CO,25/05/1993 00:00,,mg m-3,R
MY1,CO,26/05/1993 00:00,,mg m-3,R
MY1,CO,27/05/1993 00:00,,mg m-3,R
MY1,CO,28/05/1993 00:00,,mg m-3,R
MY1,CO,29/05/1993 00:00,,mg m-3,R
MY1,CO,30/05/1993 00:00,,mg m-3,R
MY1,CO,31/05/1993 00:00,,mg m-3,R
MY1,CO,01/06/1993 00:00,,mg m-3,R
MY1,CO,02/06/1993 00:00,,mg m-3,R
MY1,CO,03/06/1993 00:00,,mg m-3,R
MY1,CO,04/06/1993 00:00,,mg m-3,R
MY1,CO,05/06/1993 00:00,,mg m-3,R
MY1,CO,06/06/1993 00:00,,mg m-3,R
MY1,CO,07/06/1993 00:00,,mg m-3,R
MY1,CO,08/06/1993 00:00,,mg m-3,R
MY1,CO,09/06/1993 00:00,,mg m-3,R
MY1,CO,10/06/1993 00:00,,mg m-3,R
MY1,CO,11/06/1993 00:00,,mg m-3,R
MY1,CO,12/06/1993 00:00,,mg m-3,R
MY1,CO,13/06/1993 00:00,,mg m-3,R
MY1,CO,14/06/1993 00:00,,mg m-3,R
MY1,CO,15/06/1993 00:00,,mg m-3,R
MY1,CO,16/06/1993 00:00,,mg m-3,R
MY1,CO,17/06/1993 00:00,,mg m-3,R
MY1,CO,18/06/1993 00:00,,mg m-3,R
MY1,CO,19/06/1993 00:00,,mg m-3,R
MY1,CO,20/06/1993 00:00,,mg m-3,R
MY1,CO,21/06/1993 00:00,,mg m-3,R
MY1,CO,22/06/1993 00:00,,mg m-3,R
MY1,CO,23/06/1993 00:00,,mg m-3,R
MY1,CO,24/06/1993 00:00,,mg m-3,R
MY1,CO,25/06/1993 00:00,,mg m-3,R
MY1,CO,26/06/1993 00:00,,mg m-3,R
MY1,CO,27/06/1993 00:00,,mg m-3,R
MY1,CO,28/06/1993 00:00,,mg m-3,R
MY1,CO,29/06/1993 00:00,,mg m-3,R
MY1,CO,30/06/1993 00:00,,mg m-3,R
MY1,CO,01/07/1993 00:00,,mg m-3,R
MY1,CO,02/07/1993 00:00,,mg m-3,R
MY1,CO,03/07/1993 00:00,,mg m-3,R
MY1,CO,04/07/1993 00:00,,mg m-3,R
MY1,CO,05/07/1993 00:00,,mg m-3,R
MY1,CO,06/07/1993 00:00,,mg m-3,R
MY1,CO,07/07/1993 00:00,,mg m-3,R
MY1,CO,08/07/1993 00:00,,mg m-3,R
MY1,CO,09/07/1993 00:00,,mg m-3,R
MY1,CO,10/07/1993 00:00,,mg m-3,R
MY1,CO,11/07/1993 00:00,,mg m-3,R
MY1,CO,12/07/1993 00:00,,mg m-3,R
MY1,CO,13/07/1993 00:00,,mg m-3,R
MY1,CO,14/07/1993 00:00,,mg m-3,R
MY1,CO,15/07/1993 00:00,,mg m-3,R
MY1,CO,16/07/1993 00:00,,mg m-3,R
MY1,CO,17/07/1993 00:00,,mg m-3,R
MY1,CO,18/07/1993 00:00,,mg m-3,R
MY1,CO,19/07/1993 00:00,,mg m-3,R
MY1,CO,20/07/1993 00:00,,mg m-3,R
MY1,CO,21/07/1993 00:00,,mg m-3,R
MY1,CO,22/07/1993 00:00,,mg m-3,R
MY1,CO,23/07/1993 00:00,,mg m-3,R
MY1,CO,24/07/1993 00:00,,mg m-3,R
